# 0D ASCII output created by CarpetIOASCII
# created on t029.local by lv65221 on Sep 01 2021 at 12:02:39+0200
# parameter filename: "/storage/projects/lv65/nr_eob/simulations/BBHMedRes_Tomas/output-0000/BBHMedRes_Tomas.par"
#
# PUNCTURETRACKER::PT_LOC (puncturetracker-pt_loc)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
96	0	0 0 0	0 0 0	0.28125	0 0 0	0.2724609375 0.2724609375 0 0 0 0 0 0 0 0 2.99999852495121 -2.99999852495121 0 0 0 0 0 0 0 0 0.0015974940635543 -0.0015974940635543 0 0 0 0 0 0 0 0 -4.34061911700274e-23 -4.34061911700274e-23 0 0 0 0 0 0 0 0

# iteration 128   time 0.375
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:pt_loc_t[0] 14:pt_loc_t[1] 15:pt_loc_t[2] 16:pt_loc_t[3] 17:pt_loc_t[4] 18:pt_loc_t[5] 19:pt_loc_t[6] 20:pt_loc_t[7] 21:pt_loc_t[8] 22:pt_loc_t[9] 23:pt_loc_x[0] 24:pt_loc_x[1] 25:pt_loc_x[2] 26:pt_loc_x[3] 27:pt_loc_x[4] 28:pt_loc_x[5] 29:pt_loc_x[6] 30:pt_loc_x[7] 31:pt_loc_x[8] 32:pt_loc_x[9] 33:pt_loc_y[0] 34:pt_loc_y[1] 35:pt_loc_y[2] 36:pt_loc_y[3] 37:pt_loc_y[4] 38:pt_loc_y[5] 39:pt_loc_y[6] 40:pt_loc_y[7] 41:pt_loc_y[8] 42:pt_loc_y[9] 43:pt_loc_z[0] 44:pt_loc_z[1] 45:pt_loc_z[2] 46:pt_loc_z[3] 47:pt_loc_z[4] 48:pt_loc_z[5] 49:pt_loc_z[6] 50:pt_loc_z[7] 51:pt_loc_z[8] 52:pt_loc_z[9]
128	0	0 0 0	0 0 0	0.375	0 0 0	0.3662109375 0.3662109375 0 0 0 0 0 0 0 0 2.99999363100717 -2.99999363100717 0 0 0 0 0 0 0 0 0.00445775477951982 -0.00445775477951982 0 0 0 0 0 0 0 0 -6.24457559710148e-23 -6.24457559710148e-23 0 0 0 0 0 0 0 0

# iteration 160   time 0.46875
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
